timestamp,sender_ip,sender_mac,target_ip,target_mac,operation
2026-08-21 20:56:32,172.25.241.114,bc:03:58:50:8f:89,169.254.169.254,00:00:00:00:00:00,request
2026-08-21 20:56:32,172.25.225.145,cc:47:40:c7:9e:4f,172.25.231.192,00:00:00:00:00:00,request
2026-08-21 20:56:32,172.25.228.34,dc:45:46:70:9a:27,172.25.224.58,00:00:00:00:00:00,request
2026-08-21 20:56:32,172.25.240.1,e6:db:ae:f4:fe:62,172.25.243.216,00:00:00:00:00:00,request
2026-08-21 20:56:32,172.25.243.97,74:3a:f4:10:e9:79,172.25.242.171,00:00:00:00:00:00,request
2026-08-21 20:56:32,172.25.229.148,c6:95:0b:2d:8f:6e,172.25.224.1,00:00:00:00:00:00,request
2026-08-21 20:56:32,172.25.224.1,e6:db:ae:f4:fe:62,172.25.229.87,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.224.1,e6:db:ae:f4:fe:62,172.25.227.140,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.230.44,88:6c:60:e4:23:72,172.25.224.1,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.224.1,e6:db:ae:f4:fe:62,172.25.225.100,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.240.1,e6:db:ae:f4:fe:62,172.25.242.63,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.224.1,e6:db:ae:f4:fe:62,172.25.230.110,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.224.68,72:05:0c:75:dd:b4,172.25.224.1,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.240.1,e6:db:ae:f4:fe:62,172.25.245.188,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.240.1,e6:db:ae:f4:fe:62,172.25.246.178,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.229.3,28:be:43:05:af:97,172.25.229.3,ff:ff:ff:ff:ff:ff,reply
2026-08-21 20:56:33,172.25.224.81,34:6f:24:2c:6e:6b,172.25.224.81,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.229.3,28:be:43:05:af:97,172.25.224.1,ff:ff:ff:ff:ff:ff,request
2026-08-21 20:56:33,172.25.224.1,e6:db:ae:f4:fe:62,172.25.230.211,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.246.98,44:fe:ef:88:7e:d5,172.25.240.1,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.242.187,b8:1e:a4:19:63:ab,172.25.241.0,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.224.1,e6:db:ae:f4:fe:62,172.25.231.17,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.224.1,e6:db:ae:f4:fe:62,172.25.231.188,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.42.39,da:5c:83:f5:12:b4,172.25.40.1,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.231.59,50:c2:e8:8f:35:95,172.25.224.1,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.240.1,e6:db:ae:f4:fe:62,172.25.245.32,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.224.1,e6:db:ae:f4:fe:62,172.25.231.127,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.240.1,e6:db:ae:f4:fe:62,172.25.240.215,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.224.1,e6:db:ae:f4:fe:62,172.25.225.82,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.224.1,e6:db:ae:f4:fe:62,172.25.226.3,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.224.1,e6:db:ae:f4:fe:62,172.25.230.107,00:00:00:00:00:00,request
2026-08-21 20:56:33,172.25.224.68,72:05:0c:75:dd:b4,172.25.224.1,00:00:00:00:00:00,request
