timestamp,sender_ip,sender_mac,target_ip,target_mac,operation
2026-08-20 14:52:10,172.25.216.1,ff:ed:2b:3d:6c:7a,172.25.220.237,00:00:00:00:00:00,reply
2026-08-20 14:52:14,172.25.208.111,83:4d:30:dd:7c:01,172.25.208.111,ff:ff:ff:ff:ff:ff,reply
2026-08-20 14:52:26,172.25.208.1,ec:62:6d:ca:c4:7d,172.25.213.222,00:00:00:00:00:00,reply
2026-08-20 14:52:10,172.25.227.155,1c:59:84:3a:12:91,172.25.224.1,00:00:00:00:00:00,reply
2026-08-20 14:52:13,172.25.240.1,e5:38:08:af:0f:23,172.25.245.119,00:00:00:00:00:00,reply
2026-08-20 14:52:07,172.25.232.1,d6:f7:5a:d9:cd:74,172.25.239.51,00:00:00:00:00:00,reply
2026-08-20 14:52:09,172.25.235.118,52:92:75:4f:29:3a,172.25.235.118,ff:ff:ff:ff:ff:ff,reply
2026-08-20 14:52:10,172.25.224.105,0f:a6:77:51:15:2f,172.25.229.177,00:00:00:00:00:00,reply
2026-08-20 14:52:07,172.25.216.1,bd:fb:03:74:31:83,172.25.220.78,00:00:00:00:00:00,reply
2026-08-20 14:52:29,172.25.224.1,94:12:dd:ff:98:c7,172.25.224.87,00:00:00:00:00:00,reply
2026-08-20 14:52:06,172.25.235.165,37:36:45:a3:89:79,172.25.237.124,00:00:00:00:00:00,reply
2026-08-20 14:52:29,172.25.216.1,f9:03:b8:73:ae:a8,172.25.220.8,00:00:00:00:00:00,reply
2026-08-20 14:52:07,172.25.236.95,50:5e:0c:ba:39:3f,172.25.232.1,00:00:00:00:00:00,reply
2026-08-20 14:52:29,172.25.210.211,88:4a:bc:9f:ff:c3,172.25.208.1,00:00:00:00:00:00,reply
2026-08-20 14:52:27,172.25.184.6,16:ff:c7:c4:ab:44,172.25.160.1,00:00:00:00:00:00,reply
2026-08-20 14:52:11,172.25.208.1,fb:57:8f:c1:81:7a,172.25.211.238,00:00:00:00:00:00,reply
2026-08-20 14:52:10,172.25.208.1,54:c8:b7:1a:1a:02,172.25.208.98,00:00:00:00:00:00,reply
2026-08-20 14:52:30,172.25.216.1,67:f6:ce:d4:80:6e,172.25.223.213,00:00:00:00:00:00,reply
2026-08-20 14:52:20,172.25.216.1,7b:da:bb:d2:18:8a,172.25.216.29,00:00:00:00:00:00,reply
2026-08-20 14:52:20,172.25.208.1,44:ff:81:23:14:bd,172.25.214.21,00:00:00:00:00:00,reply
2026-08-20 14:52:21,172.25.241.106,dd:df:2b:b1:49:d3,172.25.240.31,00:00:00:00:00:00,reply
2026-08-20 14:52:22,172.25.232.1,f2:a5:30:cd:81:8b,172.25.239.55,00:00:00:00:00:00,reply
2026-08-20 14:52:26,172.25.240.1,b4:7b:91:3e:e2:69,172.25.241.136,00:00:00:00:00:00,reply
2026-08-20 14:52:28,172.25.232.1,d2:f0:ce:c1:47:0b,172.25.233.231,00:00:00:00:00:00,reply
2026-08-20 14:52:19,172.25.232.1,e1:aa:60:b0:f6:58,172.25.236.63,00:00:00:00:00:00,reply
2026-08-20 14:52:23,172.25.250.200,61:65:5d:1c:e8:9d,172.25.249.139,00:00:00:00:00:00,reply
2026-08-20 14:52:20,172.25.224.1,5b:0f:4d:77:61:a1,172.25.225.90,00:00:00:00:00:00,reply
2026-08-20 14:52:19,172.25.232.1,7b:8a:4a:ff:6c:33,172.25.239.166,00:00:00:00:00:00,reply
2026-08-20 14:52:22,172.25.229.29,d2:45:e9:1f:05:e3,172.25.228.174,00:00:00:00:00:00,reply
2026-08-20 14:52:09,172.25.191.85,ca:6f:bb:b7:9a:8a,172.25.191.85,ff:ff:ff:ff:ff:ff,reply
2026-08-20 14:52:08,172.25.232.1,b7:98:da:2f:61:9d,172.25.232.143,00:00:00:00:00:00,reply
2026-08-20 14:52:28,172.25.219.44,0b:73:ab:6e:3d:01,172.25.216.1,00:00:00:00:00:00,reply
2026-08-20 14:52:08,172.25.246.0,99:f7:de:fa:a7:9b,172.25.240.1,00:00:00:00:00:00,reply
2026-08-20 14:52:07,172.25.232.1,c3:4a:ad:cb:ee:92,172.25.234.4,00:00:00:00:00:00,reply
2026-08-20 14:52:23,172.25.224.1,c7:36:ac:38:35:9e,172.25.225.20,00:00:00:00:00:00,reply
2026-08-20 14:52:10,172.25.234.237,1b:c8:71:47:85:93,172.25.235.243,00:00:00:00:00:00,reply
2026-08-20 14:52:27,172.25.216.1,3a:90:6e:ab:7c:9c,172.25.222.199,00:00:00:00:00:00,reply
2026-08-20 14:52:20,172.25.248.73,b1:a5:1d:0f:ac:97,172.25.254.177,00:00:00:00:00:00,reply
2026-08-20 14:52:29,172.25.216.1,90:02:4d:a7:d5:4f,172.25.217.226,00:00:00:00:00:00,reply
2026-08-20 14:52:22,172.25.208.1,ab:a1:65:95:45:e0,172.25.211.238,00:00:00:00:00:00,reply
